algorithm,machine,problem size,time
dijkstra,andromeda,500K,0.332335747
dijkstra,andromeda,500K,0.327318626
dijkstra,andromeda,500K,0.327364233
dijkstra,andromeda,500K,0.323641491
dijkstra,andromeda,500K,0.328728395
dijkstra,andromeda,500K,0.329629318
dijkstra,andromeda,500K,0.327281193
dijkstra,andromeda,500K,0.326064329
dijkstra,andromeda,500K,0.326726156
dijkstra,andromeda,500K,0.329525567
dijkstra,andromeda,500K,0.328075793
dijkstra,andromeda,500K,0.327483204
dijkstra,andromeda,500K,0.330186400
dijkstra,andromeda,500K,0.325609699
dijkstra,andromeda,500K,0.326311050
dijkstra,andromeda,500K,0.330585090
dijkstra,andromeda,500K,0.325359248
dijkstra,andromeda,500K,0.336581572
dijkstra,andromeda,500K,0.330415454
dijkstra,andromeda,500K,0.322828126
dijkstra,andromeda,500K,0.326778807
dijkstra,andromeda,500K,0.328471130
dijkstra,andromeda,500K,0.324887738
dijkstra,andromeda,500K,0.324918428
dijkstra,andromeda,500K,0.330730494
dijkstra,andromeda,500K,0.330987311
dijkstra,andromeda,500K,0.328730112
dijkstra,andromeda,500K,0.330329599
dijkstra,andromeda,500K,0.324564704
dijkstra,andromeda,500K,0.326648147
dijkstra,andromeda,500K,0.331467827
dijkstra,andromeda,500K,0.329674315
dijkstra,andromeda,500K,0.331814066
dijkstra,andromeda,500K,0.328929927
dijkstra,andromeda,500K,0.326708029
dijkstra,andromeda,500K,0.325269332
dijkstra,andromeda,500K,0.325736341
dijkstra,andromeda,500K,0.330780212
dijkstra,andromeda,500K,0.323194559
dijkstra,andromeda,500K,0.327523754
dijkstra,andromeda,500K,0.327932723
dijkstra,andromeda,500K,0.328064819
dijkstra,andromeda,500K,0.327754300
dijkstra,andromeda,500K,0.328289815
dijkstra,andromeda,500K,0.321151795
dijkstra,andromeda,500K,0.323731065
dijkstra,andromeda,500K,0.324449485
dijkstra,andromeda,500K,0.329024706
dijkstra,andromeda,500K,0.331088528
dijkstra,andromeda,500K,0.330137521
dijkstra,andromeda,500K,0.326887272
dijkstra,andromeda,500K,0.326222411
dijkstra,andromeda,500K,0.326909826
dijkstra,andromeda,500K,0.330033145
dijkstra,andromeda,500K,0.322494013
dijkstra,andromeda,500K,0.326365342
dijkstra,andromeda,500K,0.327123447
dijkstra,andromeda,500K,0.325034736
dijkstra,andromeda,500K,0.325951923
dijkstra,andromeda,500K,0.326602122
dijkstra,andromeda,500K,0.325310336
dijkstra,andromeda,500K,0.325468319
dijkstra,andromeda,500K,0.326975841
dijkstra,andromeda,500K,0.329381823
dijkstra,andromeda,500K,0.328835686
dijkstra,andromeda,500K,0.324646931
dijkstra,andromeda,500K,0.324183287
dijkstra,andromeda,500K,0.322454593
dijkstra,andromeda,500K,0.325394900
dijkstra,andromeda,500K,0.328592397
dijkstra,andromeda,500K,0.327751713
dijkstra,andromeda,500K,0.322688864
dijkstra,andromeda,500K,0.327586354
dijkstra,andromeda,500K,0.323918231
dijkstra,andromeda,500K,0.326261475
dijkstra,andromeda,500K,0.324105402
dijkstra,andromeda,500K,0.323034467
dijkstra,andromeda,500K,0.325912577
dijkstra,andromeda,500K,0.328723171
dijkstra,andromeda,500K,0.328122488
dijkstra,andromeda,500K,0.325964546
dijkstra,andromeda,500K,0.323843492
dijkstra,andromeda,500K,0.331009136
dijkstra,andromeda,500K,0.325898915
dijkstra,andromeda,500K,0.328386048
dijkstra,andromeda,500K,0.326163196
dijkstra,andromeda,500K,0.322650240
dijkstra,andromeda,500K,0.323708864
dijkstra,andromeda,500K,0.327297140
dijkstra,andromeda,500K,0.325403864
dijkstra,andromeda,500K,0.325170158
dijkstra,andromeda,500K,0.328933609
dijkstra,andromeda,500K,0.325519483
dijkstra,andromeda,500K,0.326339437
dijkstra,andromeda,500K,0.326489980
dijkstra,andromeda,500K,0.329423451
dijkstra,andromeda,500K,0.324871327
dijkstra,andromeda,500K,0.323725355
dijkstra,andromeda,500K,0.324401015
dijkstra,andromeda,500K,0.326474846
dijkstra,andromeda,500K,0.327754965
dijkstra,andromeda,500K,0.325739033
dijkstra,andromeda,500K,0.327670314
dijkstra,andromeda,500K,0.324484439
dijkstra,andromeda,500K,0.322623156
dijkstra,andromeda,500K,0.327309636
dijkstra,andromeda,500K,0.323758620
dijkstra,andromeda,500K,0.326557613
dijkstra,andromeda,500K,0.329835812
dijkstra,andromeda,500K,0.325310603
