,algorithm,machine,psize,model,parameters,crossValid,-2l,AIC,CAIC,BIC,HQIC,infTime.mean
0,dijkstra,lasdpc,10M,Gamma,1.85271653705258 0.0971249127676187,-322.559739748392,-1619.3051352312698,-1615.3051352312698,-1615.29309912294,-1611.5745562956101,-1605.48962467331,0.108454545453159
1,dijkstra,lasdpc,10M,Weibull,1.3750501784043 0.19807164188836,-315.824273751189,-1583.15192333582,-1579.15192333582,-1579.13988722749,-1575.4213444001502,-1569.33641277785,0.0598947368401385
2,dijkstra,lasdpc,10M,Normal,0.179947519371974 0.140974264441494,-214.364893582536,-1080.48826661725,-1076.48826661725,-1076.47623050893,-1072.75768768159,-1066.67275605929,0.012333333332207999
3,dijkstra,lasdpc,10M,T.Normal,-0.0631739107318979 0.252236662894462,-299.67921723775504,-1502.50489190839,-1498.50489190839,-1498.4928558000597,-1494.77431297272,-1488.68938135042,0.0402222222215237
4,dijkstra,lasdpc,10M,Lognormal,-2.00856703929631 0.801379204830152,-322.973013447766,-1622.0990814673498,-1618.0990814673498,-1618.08704535903,-1614.36850253169,-1608.28357090939,0.0128888888915147
5,dijkstra,lasdpc,10M,OLL-GG,0.0195069852890552 0.688568550847397 4.30382233908557 0.899035853851589,-327.07910943880904,-1638.05941876932,-1630.05941876932,-1630.0192177643,-1622.5982608979998,-1610.4283976534,1.73825000000124
6,dijkstra,lasdpc,10M,Kw-CWG,1 0.586728471395226 17.7235390496211 5.39330004139009 1.65782743569534,-328.003095305136,-1639.44101479326,-1629.44101479326,-1629.38065262022,-1620.1145674540899,-1604.9022383983402,36.166357792501
7,dijkstra,lasdpc,10M,G.Gamma,0.0214862351924794 0.664807658168827 3.86228610174368,-326.291868809348,-1637.5964664776998,-1631.5964664776998,-1631.5723700921499,-1626.0005980742,-1616.8732006407502,0.16248148148103303
8,dijkstra,lasdpc,10M,E.Weibull,0.720378891014841 0.0590131582786103 4.12942901782652,-327.404914757676,-1640.6351664057001,-1634.6351664057001,-1634.61107002016,-1629.0392980022,-1619.91190056875,0.259259259259798
0,dijkstra,halley,500K,Gamma,1.52759913920817 0.00299261636123588,-1777.8516436715197,-8889.3361778532,-8885.3361778532,-8885.324141744879,-8881.60559891754,-8875.52066729524,0.132999999997992
